date,hour,time_period,location,latitude,longitude,weather_condition,temperature_c,humidity_pct,wind_speed_kmh,visibility_km,rainfall_mm,congestion_pct,speed_kmh,is_weekend,road_type,is_junction,is_school_zone,flood_risk,risk_score,accident
2022-08-17,0,Early Morning,Tambaram,12.92538,80.12681,Light Rain,25.2,63.0,9.6,2.9,7.6,36,58.8,0,Highway,0,0,0,42.6,0
2022-02-24,17,Evening Peak,GST Road,12.97043,80.2078,Clear,22.3,57.6,10.1,12.3,0.0,100,5.0,0,Urban,1,0,0,79.0,0
2024-05-15,10,Morning Peak,Adyar,13.00438,80.25477,Drizzle,33.1,89.7,12.9,7.8,0.7,91,5.0,0,Highway,1,0,0,64.5,0
2024-02-15,2,Early Morning,Poonamallee,13.04299,80.14824,Clear,28.7,71.6,8.5,11.7,0.0,13,65.1,0,Arterial,1,0,0,17.5,0
2023-04-12,9,Morning Peak,Kathipara,13.01683,80.20937,Clear,29.6,70.0,4.9,13.8,0.0,100,5.0,0,Urban,0,0,0,63.3,0
2022-05-27,19,Evening Peak,T Nagar,13.04235,80.22835,Drizzle,34.3,73.3,19.8,6.9,0.4,100,5.0,0,Flyover,1,0,0,82.4,1
2022-04-25,7,Night,Porur,13.03279,80.16646,Light Rain,33.7,90.7,7.7,3.3,3.4,50,34.7,0,Flyover,0,1,0,51.9,0
2024-07-28,4,Early Morning,Adyar,13.0006,80.25814,Heavy Rain,35.0,86.1,17.9,1.6,26.2,21,56.6,1,Industrial,0,0,1,69.8,0
2024-11-09,15,Night,Kathipara,13.01319,80.21136,Clear,29.0,65.4,12.7,13.7,0.0,63,28.1,1,Coastal,0,1,0,39.0,0
2024-12-19,8,Morning Peak,Poonamallee,13.0422,80.151,Clear,29.5,66.6,14.3,6.1,0.0,47,44.1,0,Industrial,1,0,0,46.0,0
2023-11-28,3,Early Morning,Adyar,13.00832,80.25517,Thunderstorm,29.7,77.5,10.4,0.8,58.2,36,54.3,0,Highway,1,0,1,99.0,1
2022-11-10,11,Afternoon,Ambattur,13.11896,80.1506,Heavy Rain,26.4,92.1,23.0,1.9,37.7,76,20.9,0,Coastal,0,1,1,99.0,0
2023-09-22,7,Night,Anna Salai,13.0613,80.25557,Light Rain,27.4,94.2,11.6,4.3,1.7,62,24.4,0,Arterial,0,0,0,60.3,0
2022-12-05,8,Morning Peak,Poonamallee,13.05258,80.15294,Clear,22.5,51.4,11.7,9.8,0.0,47,44.2,0,Flyover,1,0,0,47.2,0
2024-03-28,21,Night,T Nagar,13.04361,80.24179,Clear,25.8,46.9,2.4,14.1,0.0,54,44.6,0,Industrial,0,0,0,26.4,0
2022-05-26,22,Night,T Nagar,13.04591,80.23454,Light Rain,32.7,71.6,11.3,2.3,1.3,63,30.1,0,Urban,1,0,0,58.6,0
2022-09-28,23,Early Morning,Pallavaram,12.9664,80.15169,Clear,28.1,57.2,3.7,11.2,0.0,32,51.8,0,Flyover,0,0,0,21.1,0
2024-08-14,23,Early Morning,Anna Salai,13.06119,80.26108,Clear,31.4,48.0,9.2,14.9,0.0,36,48.6,0,Urban,1,0,0,46.2,0
2023-01-28,6,Night,Poonamallee,13.04629,80.15814,Clear,27.6,72.7,10.0,9.8,0.0,13,68.0,1,Industrial,0,0,0,17.4,0
2022-01-31,2,Early Morning,Pallavaram,12.96018,80.15138,Clear,30.2,57.2,10.7,8.1,0.0,22,62.4,0,Coastal,1,0,0,37.2,0
2022-01-05,12,Afternoon,Adyar,12.99962,80.255,Clear,27.0,66.9,16.1,13.1,0.0,49,36.8,0,Flyover,1,0,0,47.6,0
2023-08-31,6,Night,Anna Salai,13.06572,80.26593,Fog,32.5,86.2,3.0,0.6,0.0,90,9.3,0,Industrial,0,1,0,66.4,0
2022-04-27,16,Night,Kathipara,12.99991,80.21037,Clear,37.4,57.1,18.9,6.6,0.0,64,41.1,0,Industrial,0,0,0,54.2,0
2022-06-17,13,Afternoon,T Nagar,13.04331,80.23393,Fog,30.5,92.7,5.7,0.6,0.0,95,9.7,0,Flyover,0,0,0,72.7,1
2023-09-07,14,Afternoon,Koyambedu,13.07336,80.19025,Clear,32.2,61.9,3.8,14.4,0.0,74,13.8,0,Industrial,0,0,0,47.7,0
2023-12-16,2,Early Morning,Pallavaram,12.97845,80.14495,Thunderstorm,28.2,79.0,14.1,0.6,37.5,32,54.9,1,Flyover,1,0,1,86.1,0
2022-08-01,4,Early Morning,Adyar,12.99895,80.25744,Heavy Rain,27.4,85.1,11.1,0.7,26.6,28,60.0,0,Flyover,1,0,1,79.3,1
2022-04-15,2,Early Morning,T Nagar,13.04955,80.23018,Clear,36.0,45.1,15.9,8.5,0.0,28,61.7,0,Flyover,1,0,0,41.0,0
2024-06-23,17,Evening Peak,Tambaram,12.92404,80.13404,Thunderstorm,32.8,79.1,30.0,0.3,23.0,100,5.0,1,Industrial,1,0,1,99.0,1
2024-01-17,1,Early Morning,Pallavaram,12.97141,80.14372,Drizzle,23.6,72.4,12.1,6.7,1.4,12,73.0,0,Coastal,1,0,0,39.7,0
2023-04-30,5,Night,Ambattur,13.11555,80.15653,Clear,36.8,55.0,18.8,13.9,0.0,33,54.8,1,Flyover,1,0,0,41.0,0
2023-07-01,5,Night,Ambattur,13.11073,80.16413,Clear,28.8,46.2,10.5,9.4,0.0,42,40.4,1,Arterial,1,0,0,50.5,0
2023-09-18,7,Night,GST Road,12.96673,80.20384,Heavy Rain,33.2,69.8,24.2,0.8,19.8,93,5.0,0,Coastal,1,0,1,99.0,1
2022-02-26,3,Early Morning,Pallavaram,12.96956,80.15401,Clear,22.1,73.9,6.8,7.6,0.0,35,50.8,1,Highway,1,0,0,38.5,0
2023-10-05,13,Afternoon,ECR,12.89785,80.24862,Clear,29.6,46.3,9.8,7.0,0.0,15,69.7,0,Industrial,1,0,0,36.6,0
2023-02-08,11,Afternoon,Velachery,13.01094,80.22097,Light Rain,26.9,71.0,17.3,4.7,4.0,71,21.9,0,Flyover,1,0,0,78.7,0
2023-10-31,12,Afternoon,Tambaram,12.92603,80.12321,Light Rain,32.2,91.6,13.1,2.5,4.8,61,33.6,0,Urban,0,0,0,55.5,0
2023-09-15,9,Morning Peak,GST Road,12.97517,80.20227,Thunderstorm,26.3,76.3,18.3,1.0,46.2,100,5.0,0,Arterial,1,0,1,99.0,0
2022-06-23,9,Morning Peak,Poonamallee,13.04357,80.15758,Clear,34.2,52.0,7.6,11.6,0.0,40,41.8,0,Arterial,0,0,0,35.3,0
2024-08-31,19,Evening Peak,Porur,13.03773,80.15278,Clear,32.1,71.6,12.4,10.1,0.0,91,7.5,1,Flyover,1,0,0,66.4,1
2022-01-12,3,Early Morning,Ambattur,13.11609,80.1576,Clear,31.5,46.5,6.5,7.6,0.0,30,61.3,0,Highway,0,0,0,23.0,0
2024-12-23,17,Evening Peak,ECR,12.89761,80.25528,Fog,27.1,75.5,16.7,0.8,0.0,44,47.4,0,Industrial,0,1,0,66.2,1
2022-11-22,23,Early Morning,Porur,13.03865,80.16288,Fog,28.1,86.8,11.4,0.4,0.0,43,48.9,0,Flyover,0,0,0,41.7,0
2023-08-09,7,Night,Adyar,13.01049,80.25324,Light Rain,32.3,65.3,8.9,5.6,1.7,46,40.8,0,Arterial,1,0,0,54.9,0
2024-04-14,10,Morning Peak,Poonamallee,13.05737,80.14396,Clear,33.5,68.1,19.0,6.6,0.0,44,36.7,1,Highway,1,0,0,51.1,0
2024-02-19,15,Night,Anna Salai,13.06914,80.25682,Clear,25.4,56.7,18.0,8.7,0.0,50,36.4,0,Coastal,1,0,0,62.5,0
2023-03-28,15,Night,GST Road,12.96795,80.20098,Clear,24.6,68.9,15.0,10.4,0.0,52,35.1,0,Coastal,1,1,0,65.2,0
2024-03-17,18,Evening Peak,ECR,12.90547,80.24257,Clear,30.9,57.9,17.6,6.8,0.0,28,54.3,1,Arterial,0,0,0,40.0,0
2023-03-10,14,Afternoon,Koyambedu,13.06544,80.19423,Clear,26.7,57.6,17.0,13.9,0.0,67,30.7,0,Coastal,0,0,0,37.6,0
2023-12-18,7,Night,T Nagar,13.04013,80.23173,Heavy Rain,35.3,61.1,12.4,1.9,11.2,82,23.2,0,Highway,1,0,1,99.0,1
2023-03-23,14,Afternoon,Tambaram,12.9166,80.13209,Clear,21.9,66.6,16.0,9.3,0.0,75,25.2,0,Arterial,1,0,0,54.0,0
2022-02-22,9,Morning Peak,ECR,12.89988,80.25903,Clear,23.2,56.9,14.9,14.6,0.0,19,67.0,0,Highway,1,0,0,38.5,0
2023-05-13,3,Early Morning,Tambaram,12.91827,80.1272,Clear,30.8,74.5,16.1,13.7,0.0,0,74.9,1,Urban,1,0,0,28.8,0
2022-05-22,16,Night,T Nagar,13.03556,80.24226,Clear,31.1,69.7,3.9,13.6,0.0,43,43.4,1,Urban,1,0,0,50.0,0
2022-11-10,13,Afternoon,OMR IT Corridor,12.93511,80.21392,Clear,27.3,61.1,10.7,14.7,0.0,65,28.1,0,Coastal,1,0,0,46.8,0
2023-10-23,7,Night,Porur,13.03811,80.1582,Clear,33.4,58.5,15.5,8.5,0.0,37,50.7,0,Industrial,1,0,0,46.6,0
